,Unnamed: 0,mz,intensity,rel.intensity,theo.mass,delta,rdb.equiv,comp,add.info,sample,rep,carbons,hydrogens,oxygens,nitrogens,phosphates,carbon_isotope,fullsample,sample_loc_row,slope,yint,error,correctedmz,em,mf,unsat,chemcalc_error,ppm,info
3189,3190,728.5408,10323.0,0.61,728.541,-0.14,5.5,C37 [13]C4 H75 O7 N P ,,ko6,2,37,75,7,1,1,4,ko6_2,4,3.72826728032818e-22,0.0004000000000132,0.0004000000000132,728.5412,727.534544,C39[13C]H75N2O7P,5.0,0.000607,0.8346,N2PO7[13C]C39H75
3190,3191,728.5661,15729.1,0.92,728.5663,-0.2,15.0,C42 [13]C7 H71 O3 N ,,ko6,2,42,71,3,1,0,7,ko6_2,4,3.72826728032818e-22,0.0004000000000132,0.0004000000000132,728.5665,727.558143,C30[13C]12H72N2O5P,8.5,-0.001094,-1.5035,N2PO5[13C]12C30H72
3191,3192,729.5439,7350.3,0.43,729.544,-0.08,10.0,C40 [13]C5 H72 O7 ,,ko6,2,40,72,7,0,0,5,ko6_2,4,3.72826728032818e-22,0.0004000000000132,0.0004000000000132,729.5443,728.537899,C38[13C]2H75N2O7P,5.0,0.000862,1.1833,N2PO7[13C]2C38H75
3192,3193,729.5529,5367.7,0.32,729.553,-0.03,9.0,C42 [13]C3 H74 O7 ,,ko6,2,42,74,7,0,0,3,ko6_2,4,3.72826728032818e-22,0.0004000000000132,0.0004000000000132,729.5533,728.546839,C40H77N2O7P,4.0,0.000802,1.1014,N2PO7C40H77
3193,3194,729.5696,15225.6,0.89,729.5697,-0.06,15.0,C41 [13]C8 H71 O3 N ,,ko6,2,41,71,3,1,0,8,ko6_2,4,3.72826728032818e-22,0.0004000000000132,0.0004000000000132,729.57,728.561498,C29[13C]13H72N2O5P,8.5,-0.001239,-1.7007,N2PO5[13C]13C29H72
3194,3195,729.5901,21535.8,1.26,729.5902,-0.05,7.0,C45 H79 O6 N ,,ko6,2,45,79,6,1,0,0,ko6_2,4,3.72826728032818e-22,0.0004000000000132,0.0004000000000132,729.5905,728.583225,C41H81N2O6P,3.0,-0.000012,-0.0165,N2PO6C41H81
3195,3196,730.5379,31843.5,1.87,730.5378,0.08,8.0,C44 H74 O8 ,,ko6,2,44,74,8,0,0,0,ko6_2,4,3.72826728032818e-22,0.0004000000000132,0.0004000000000132,730.5383,729.532314,C35[13C]5H73N2O7P,6.0,0.001277,1.7498,N2PO7[13C]5C35H73
3196,3197,730.574,15573.5,0.91,730.5742,-0.2,7.0,C45 H78 O7 ,,ko6,2,45,78,7,0,0,0,ko6_2,4,3.72826728032818e-22,0.0004000000000132,0.0004000000000132,730.5744,729.568699,C36[13C]5H77N2O6P,5.0,0.001562,2.141,N2PO6[13C]5C36H77
3197,3198,730.5936,9732.7,0.57,730.5935,0.01,7.0,C44 [13]C H79 O6 N ,,ko6,2,44,79,6,1,0,1,ko6_2,4,3.72826728032818e-22,0.0004000000000132,0.0004000000000132,730.594,729.58658,C40[13C]H81N2O6P,3.0,-0.000157,-0.2155,N2PO6[13C]C40H81
3198,3199,731.5299,6980.1,0.41,731.5299,0.01,10.5,C37 [13]C7 H71 O5 N P ,,ko6,2,37,71,5,1,1,7,ko6_2,4,3.72826728032818e-22,0.0004000000000132,0.0004000000000132,731.5303,730.523479,C39[13C]4H71N2O5P,10.0,0.000442,0.6055,N2PO5[13C]4C39H71
