name,area,deq,group
koewat_1_0177_RGB Trans.tiff,3355.08,65.36,ko
koewat_1_0177_RGB Trans.tiff,1720.7,46.81,ko
koewat_1_0177_RGB Trans.tiff,4612.11,76.63,ko
koewat_1_0177_RGB Trans.tiff,3434.38,66.13,ko
koewat_1_0177_RGB Trans.tiff,1350,41.46,ko
koewat_1_0177_RGB Trans.tiff,2207.03,53.01,ko
koewat_1_0177_RGB Trans.tiff,6079.69,87.98,ko
koewat_1_0177_RGB Trans.tiff,4844.53,78.54,ko
koewat_1_0177_RGB Trans.tiff,3953.52,70.95,ko
koewat_1_0177_RGB Trans.tiff,4714.45,77.48,ko
koewat_1_0177_RGB Trans.tiff,4655.47,76.99,ko
koewat_1_0177_RGB Trans.tiff,8287.89,102.73,ko
koewat_1_0177_RGB Trans.tiff,2683.2,58.45,ko
koewat_1_0177_RGB Trans.tiff,3379.3,65.59,ko
koewat_1_0177_RGB Trans.tiff,5022.27,79.97,ko
koewat_1_0177_RGB Trans.tiff,821.09,32.33,ko
koewat_1_0177_RGB Trans.tiff,2098.44,51.69,ko
koewat_1_0177_RGB Trans.tiff,11597.27,121.52,ko
koewat_1_0177_RGB Trans.tiff,508.2,25.44,ko
koewat_1_0177_RGB Trans.tiff,981.64,35.35,ko
koewat_1_0177_RGB Trans.tiff,677.73,29.38,ko
koewat_1_0177_RGB Trans.tiff,5551.95,84.08,ko
koewat_1_0177_RGB Trans.tiff,2578.91,57.3,ko
koewat_1_0177_RGB Trans.tiff,3611.72,67.81,ko
koewat_1_0177_RGB Trans.tiff,3679.3,68.44,ko
koewat_1_0177_RGB Trans.tiff,2595.31,57.48,ko
koewat_1_0177_RGB Trans.tiff,10115.23,113.49,ko
koewat_1_0177_RGB Trans.tiff,6167.97,88.62,ko
koewat_1_0177_RGB Trans.tiff,3544.53,67.18,ko
koewat_1_0177_RGB Trans.tiff,2142.19,52.23,ko
koewat_1_0177_RGB Trans.tiff,5929.69,86.89,ko
koewat_1_0177_RGB Trans.tiff,4751.17,77.78,ko
koewat_1_0177_RGB Trans.tiff,1509.77,43.84,ko
koewat_1_0177_RGB Trans.tiff,579.3,27.16,ko
koewat_1_0177_RGB Trans.tiff,901.56,33.88,ko
koewat_1_0177_RGB Trans.tiff,1703.52,46.57,ko
koewat_1_0177_RGB Trans.tiff,612.5,27.93,ko
koewat_1_0177_RGB Trans.tiff,740.23,30.7,ko
koewat_1_0177_RGB Trans.tiff,8725.78,105.4,ko
koewat_1_0177_RGB Trans.tiff,3378.52,65.59,ko
koewat_1_0177_RGB Trans.tiff,2817.19,59.89,ko
koewat_1_0177_RGB Trans.tiff,6269.14,89.34,ko
koewat_1_0177_RGB Trans.tiff,10188.28,113.9,ko
koewat_1_0177_RGB Trans.tiff,6412.5,90.36,ko
koewat_1_0177_RGB Trans.tiff,4577.34,76.34,ko
koewat_1_0177_RGB Trans.tiff,6036.33,87.67,ko
koewat_1_0177_RGB Trans.tiff,13103.91,129.17,ko
koewat_1_0177_RGB Trans.tiff,5632.81,84.69,ko
koewat_1_0177_RGB Trans.tiff,6268.36,89.34,ko
koewat_1_0177_RGB Trans.tiff,5869.92,86.45,ko
koewat_1_0177_RGB Trans.tiff,7294.92,96.38,ko
koewat_1_0177_RGB Trans.tiff,9321.88,108.94,ko
koewat_1_0177_RGB Trans.tiff,8251.17,102.5,ko
koewat_1_0177_RGB Trans.tiff,4989.84,79.71,ko
koewat_1_0177_RGB Trans.tiff,2299.61,54.11,ko
koewat_1_0177_RGB Trans.tiff,5357.81,82.59,ko
koewat_1_0177_RGB Trans.tiff,4996.88,79.76,ko
koewat_1_0177_RGB Trans.tiff,11724.61,122.18,ko
koewat_1_0177_RGB Trans.tiff,2293.36,54.04,ko
koewat_2_0180_RGB Trans.tiff,2948.44,61.27,ko
koewat_2_0180_RGB Trans.tiff,4609.77,76.61,ko
koewat_2_0180_RGB Trans.tiff,1612.11,45.31,ko
koewat_2_0180_RGB Trans.tiff,8624.61,104.79,ko
koewat_2_0180_RGB Trans.tiff,1382.42,41.95,ko
koewat_2_0180_RGB Trans.tiff,4279.69,73.82,ko
koewat_2_0180_RGB Trans.tiff,879.3,33.46,ko
koewat_2_0180_RGB Trans.tiff,2144.14,52.25,ko
koewat_2_0180_RGB Trans.tiff,2668.75,58.29,ko
koewat_2_0180_RGB Trans.tiff,2206.64,53.01,ko
koewat_2_0180_RGB Trans.tiff,9473.05,109.82,ko
koewat_2_0180_RGB Trans.tiff,2186.33,52.76,ko
koewat_2_0180_RGB Trans.tiff,1664.06,46.03,ko
koewat_2_0180_RGB Trans.tiff,2205.08,52.99,ko
koewat_2_0180_RGB Trans.tiff,2355.47,54.76,ko
koewat_2_0180_RGB Trans.tiff,1977.73,50.18,ko
koewat_2_0180_RGB Trans.tiff,941.8,34.63,ko
koewat_2_0180_RGB Trans.tiff,531.25,26.01,ko
koewat_2_0180_RGB Trans.tiff,700,29.85,ko
koewat_2_0180_RGB Trans.tiff,1993.36,50.38,ko
koewat_2_0180_RGB Trans.tiff,5456.64,83.35,ko
koewat_2_0180_RGB Trans.tiff,1549.61,44.42,ko
koewat_2_0180_RGB Trans.tiff,1583.98,44.91,ko
koewat_2_0180_RGB Trans.tiff,3345.7,65.27,ko
koewat_2_0180_RGB Trans.tiff,2744.14,59.11,ko
koewat_2_0180_RGB Trans.tiff,1140.62,38.11,ko
koewat_2_0180_RGB Trans.tiff,3676.56,68.42,ko
koewat_2_0180_RGB Trans.tiff,1809.77,48,ko
koewat_2_0180_RGB Trans.tiff,520.7,25.75,ko
koewat_2_0180_RGB Trans.tiff,8454.3,103.75,ko
koewat_2_0180_RGB Trans.tiff,2221.48,53.18,ko
koewat_2_0180_RGB Trans.tiff,772.66,31.37,ko
koewat_2_0180_RGB Trans.tiff,2361.33,54.83,ko
koewat_2_0180_RGB Trans.tiff,14029.69,133.65,ko
koewat_2_0180_RGB Trans.tiff,7638.67,98.62,ko
koewat_2_0180_RGB Trans.tiff,1343.36,41.36,ko
koewat_2_0180_RGB Trans.tiff,12404.3,125.67,ko
koewat_2_0180_RGB Trans.tiff,3015.23,61.96,ko
koewat_2_0180_RGB Trans.tiff,4725.78,77.57,ko
koewat_2_0180_RGB Trans.tiff,1127.34,37.89,ko
koewat_2_0180_RGB Trans.tiff,4391.8,74.78,ko
koewat_2_0180_RGB Trans.tiff,1397.27,42.18,ko
koewat_2_0180_RGB Trans.tiff,834.77,32.6,ko
koewat_2_0180_RGB Trans.tiff,9458.59,109.74,ko
koewat_2_0180_RGB Trans.tiff,2107.42,51.8,ko
koewat_2_0180_RGB Trans.tiff,5048.05,80.17,ko
koewat_2_0180_RGB Trans.tiff,3494.92,66.71,ko
koewat_2_0180_RGB Trans.tiff,2267.97,53.74,ko
koewat_2_0180_RGB Trans.tiff,614.45,27.97,ko
koewat_2_0180_RGB Trans.tiff,3205.47,63.89,ko
koewat_2_0180_RGB Trans.tiff,2497.27,56.39,ko
koewat_2_0180_RGB Trans.tiff,2072.27,51.37,ko
koewat_2_0180_RGB Trans.tiff,14986.72,138.14,ko
koewat_2_0180_RGB Trans.tiff,7328.52,96.6,ko
koewat_2_0180_RGB Trans.tiff,899.61,33.84,ko
koewat_2_0180_RGB Trans.tiff,7780.47,99.53,ko
koewat_2_0180_RGB Trans.tiff,2760.94,59.29,ko
koewat_2_0180_RGB Trans.tiff,789.06,31.7,ko
koewat_2_0180_RGB Trans.tiff,926.17,34.34,ko
koewat_2_0180_RGB Trans.tiff,1505.47,43.78,ko
koewat_2_0180_RGB Trans.tiff,3385.55,65.66,ko
koewat_2_0180_RGB Trans.tiff,10423.44,115.2,ko
koewat_2_0180_RGB Trans.tiff,2303.91,54.16,ko
koewat_2_0180_RGB Trans.tiff,3259.38,64.42,ko
koewat_2_0180_RGB Trans.tiff,728.91,30.46,ko
koewat_2_0180_RGB Trans.tiff,5198.05,81.35,ko
koewat_2_0180_RGB Trans.tiff,9978.12,112.71,ko
koewat_2_0180_RGB Trans.tiff,4434.77,75.14,ko
koewat_2_0180_RGB Trans.tiff,5301.56,82.16,ko
koewat_2_0180_RGB Trans.tiff,2938.67,61.17,ko
koewat_2_0180_RGB Trans.tiff,2463.67,56.01,ko
koewat_2_0180_RGB Trans.tiff,7725.78,99.18,ko
koewat_2_0180_RGB Trans.tiff,6829.3,93.25,ko
koewat_2_0180_RGB Trans.tiff,5861.33,86.39,ko
koewat_2_0180_RGB Trans.tiff,507.81,25.43,ko
koewat_2_0180_RGB Trans.tiff,1248.44,39.87,ko
koewat_2_0180_RGB Trans.tiff,4345.7,74.38,ko
koewat_2_0180_RGB Trans.tiff,1810.16,48.01,ko
koewat_2_0180_RGB Trans.tiff,4555.86,76.16,ko
koewat_2_0180_RGB Trans.tiff,2885.16,60.61,ko
koewat_2_0180_RGB Trans.tiff,940.62,34.61,ko
koewat_2_0180_RGB Trans.tiff,847.27,32.84,ko
koewat_2_0180_RGB Trans.tiff,7398.05,97.05,ko
koewat_2_0180_RGB Trans.tiff,1523.05,44.04,ko
koewat_2_0180_RGB Trans.tiff,5836.72,86.21,ko
koewat_2_0180_RGB Trans.tiff,2309.38,54.23,ko
koewat_2_0180_RGB Trans.tiff,8933.2,106.65,ko
koewat_2_0180_RGB Trans.tiff,1027.73,36.17,ko
koewat_2_0180_RGB Trans.tiff,897.27,33.8,ko
koewat_2_0180_RGB Trans.tiff,3704.3,68.68,ko
koewat_2_0180_RGB Trans.tiff,584.38,27.28,ko
koewat_2_0180_RGB Trans.tiff,1127.73,37.89,ko
koewat_2_0180_RGB Trans.tiff,5873.83,86.48,ko
koewat_2_0180_RGB Trans.tiff,3012.89,61.94,ko
koewat_2_0180_RGB Trans.tiff,2329.69,54.46,ko
koewat_2_0180_RGB Trans.tiff,2462.5,55.99,ko
koewat_2_0180_RGB Trans.tiff,551.17,26.49,ko
koewat_2_0180_RGB Trans.tiff,3142.58,63.26,ko
koewat_2_0180_RGB Trans.tiff,9305.08,108.85,ko
koewat_2_0180_RGB Trans.tiff,18566.41,153.75,ko
koewat_2_0180_RGB Trans.tiff,7165.23,95.51,ko
koewat_2_0180_RGB Trans.tiff,2492.58,56.34,ko
koewat_2_0180_RGB Trans.tiff,799.22,31.9,ko
koewat_2_0180_RGB Trans.tiff,1103.12,37.48,ko
koewat_2_0180_RGB Trans.tiff,3501.56,66.77,ko
koewat_2_0180_RGB Trans.tiff,7224.22,95.91,ko
koewat_2_0180_RGB Trans.tiff,7333.98,96.63,ko
koewat_2_0180_RGB Trans.tiff,956.64,34.9,ko
koewat_2_0180_RGB Trans.tiff,5954.69,87.07,ko
koewat_2_0180_RGB Trans.tiff,1132.42,37.97,ko
koewat_2_0180_RGB Trans.tiff,565.62,26.84,ko
koewat_2_0180_RGB Trans.tiff,4547.66,76.09,ko
koewat_2_0180_RGB Trans.tiff,923.83,34.3,ko
koewat_2_0180_RGB Trans.tiff,1590.62,45,ko
koewat_2_0180_RGB Trans.tiff,2459.38,55.96,ko
koewat_2_0180_RGB Trans.tiff,1458.59,43.09,ko
koewat_2_0180_RGB Trans.tiff,3710.55,68.73,ko
koewat_2_0180_RGB Trans.tiff,5559.77,84.14,ko
koewat_2_0180_RGB Trans.tiff,1076.56,37.02,ko
koewat_2_0180_RGB Trans.tiff,3575.78,67.47,ko
koewat_2_0180_RGB Trans.tiff,5169.14,81.13,ko
koewat_2_0180_RGB Trans.tiff,654.3,28.86,ko
koewat_2_0180_RGB Trans.tiff,5088.28,80.49,ko
koewat_2_0180_RGB Trans.tiff,6230.47,89.07,ko
koewat_2_0180_RGB Trans.tiff,1828.52,48.25,ko
koewat_2_0180_RGB Trans.tiff,1652.34,45.87,ko
koewat_2_0180_RGB Trans.tiff,1347.66,41.42,ko
koewat_2_0180_RGB Trans.tiff,3746.48,69.07,ko
koewat_2_0180_RGB Trans.tiff,9508.98,110.03,ko
koewat_2_0180_RGB Trans.tiff,2989.84,61.7,ko
