name,area,deq,group
koiwat_1_0195_RGB Trans.tiff,784.38,31.6,ko
koiwat_1_0195_RGB Trans.tiff,1803.52,47.92,ko
koiwat_1_0195_RGB Trans.tiff,3158.2,63.41,ko
koiwat_1_0195_RGB Trans.tiff,5066.02,80.31,ko
koiwat_1_0195_RGB Trans.tiff,2844.53,60.18,ko
koiwat_1_0195_RGB Trans.tiff,6881.64,93.61,ko
koiwat_1_0195_RGB Trans.tiff,707.03,30,ko
koiwat_1_0195_RGB Trans.tiff,5055.47,80.23,ko
koiwat_1_0195_RGB Trans.tiff,808.2,32.08,ko
koiwat_1_0195_RGB Trans.tiff,4067.97,71.97,ko
koiwat_1_0195_RGB Trans.tiff,4836.72,78.47,ko
koiwat_1_0195_RGB Trans.tiff,1856.25,48.62,ko
koiwat_1_0195_RGB Trans.tiff,3517.97,66.93,ko
koiwat_1_0195_RGB Trans.tiff,5407.81,82.98,ko
koiwat_1_0195_RGB Trans.tiff,1100,37.42,ko
koiwat_1_0195_RGB Trans.tiff,4632.03,76.8,ko
koiwat_1_0195_RGB Trans.tiff,2919.92,60.97,ko
koiwat_1_0195_RGB Trans.tiff,5171.09,81.14,ko
koiwat_1_0195_RGB Trans.tiff,322.66,20.27,ko
koiwat_1_0195_RGB Trans.tiff,1573.83,44.76,ko
koiwat_1_0195_RGB Trans.tiff,1276.95,40.32,ko
koiwat_1_0195_RGB Trans.tiff,7621.88,98.51,ko
koiwat_1_0195_RGB Trans.tiff,4839.84,78.5,ko
koiwat_1_0195_RGB Trans.tiff,1332.81,41.19,ko
koiwat_1_0195_RGB Trans.tiff,2413.28,55.43,ko
koiwat_1_0195_RGB Trans.tiff,355.08,21.26,ko
koiwat_1_0195_RGB Trans.tiff,4448.44,75.26,ko
koiwat_1_0195_RGB Trans.tiff,1237.5,39.69,ko
koiwat_1_0195_RGB Trans.tiff,2081.25,51.48,ko
koiwat_1_0195_RGB Trans.tiff,676.95,29.36,ko
koiwat_1_0195_RGB Trans.tiff,8593.36,104.6,ko
koiwat_1_0195_RGB Trans.tiff,2297.27,54.08,ko
koiwat_1_0195_RGB Trans.tiff,3606.64,67.77,ko
koiwat_1_0195_RGB Trans.tiff,3920.7,70.65,ko
koiwat_1_0195_RGB Trans.tiff,7795.7,99.63,ko
koiwat_1_0195_RGB Trans.tiff,929.3,34.4,ko
koiwat_1_0195_RGB Trans.tiff,3793.75,69.5,ko
koiwat_1_0195_RGB Trans.tiff,1008.59,35.84,ko
koiwat_1_0195_RGB Trans.tiff,1408.59,42.35,ko
koiwat_1_0195_RGB Trans.tiff,2244.14,53.45,ko
koiwat_1_0195_RGB Trans.tiff,3267.58,64.5,ko
koiwat_1_0195_RGB Trans.tiff,1115.62,37.69,ko
koiwat_1_0195_RGB Trans.tiff,1301.17,40.7,ko
koiwat_1_0195_RGB Trans.tiff,3765.62,69.24,ko
koiwat_1_0195_RGB Trans.tiff,3004.3,61.85,ko
koiwat_1_0195_RGB Trans.tiff,6972.66,94.22,ko
koiwat_1_0195_RGB Trans.tiff,1649.22,45.82,ko
koiwat_1_0195_RGB Trans.tiff,1623.44,45.46,ko
koiwat_1_0195_RGB Trans.tiff,473.83,24.56,ko
koiwat_1_0195_RGB Trans.tiff,484.38,24.83,ko
koiwat_1_0195_RGB Trans.tiff,948.44,34.75,ko
koiwat_1_0195_RGB Trans.tiff,5955.08,87.08,ko
koiwat_1_0195_RGB Trans.tiff,4429.69,75.1,ko
koiwat_1_0195_RGB Trans.tiff,7721.09,99.15,ko
koiwat_1_0195_RGB Trans.tiff,2886.33,60.62,ko
koiwat_1_0195_RGB Trans.tiff,4722.27,77.54,ko
koiwat_1_0195_RGB Trans.tiff,2381.64,55.07,ko
koiwat_1_0195_RGB Trans.tiff,5361.72,82.62,ko
koiwat_1_0195_RGB Trans.tiff,3317.19,64.99,ko
koiwat_1_0195_RGB Trans.tiff,1288.67,40.51,ko
koiwat_1_0195_RGB Trans.tiff,1204.69,39.16,ko
koiwat_1_0195_RGB Trans.tiff,8608.2,104.69,ko
koiwat_1_0195_RGB Trans.tiff,772.27,31.36,ko
koiwat_1_0195_RGB Trans.tiff,9041.41,107.29,ko
koiwat_1_0195_RGB Trans.tiff,3045.7,62.27,ko
koiwat_1_0195_RGB Trans.tiff,2816.41,59.88,ko
koiwat_1_0195_RGB Trans.tiff,2591.41,57.44,ko
koiwat_1_0195_RGB Trans.tiff,1305.86,40.78,ko
koiwat_1_0195_RGB Trans.tiff,2446.48,55.81,ko
koiwat_1_0195_RGB Trans.tiff,733.59,30.56,ko
koiwat_1_0195_RGB Trans.tiff,5052.34,80.2,ko
koiwat_1_0195_RGB Trans.tiff,4164.45,72.82,ko
koiwat_1_0195_RGB Trans.tiff,753.52,30.97,ko
koiwat_1_0195_RGB Trans.tiff,4355.86,74.47,ko
koiwat_1_0195_RGB Trans.tiff,1932.42,49.6,ko
koiwat_1_0195_RGB Trans.tiff,5216.8,81.5,ko
koiwat_1_0195_RGB Trans.tiff,357.03,21.32,ko
koiwat_1_0195_RGB Trans.tiff,660.94,29.01,ko
koiwat_1_0195_RGB Trans.tiff,3627.73,67.96,ko
koiwat_1_0195_RGB Trans.tiff,1376.17,41.86,ko
koiwat_1_0195_RGB Trans.tiff,12611.33,126.72,ko
koiwat_1_0195_RGB Trans.tiff,1792.97,47.78,ko
koiwat_1_0195_RGB Trans.tiff,5645.31,84.78,ko
koiwat_1_0195_RGB Trans.tiff,1078.52,37.06,ko
koiwat_1_0195_RGB Trans.tiff,6858.59,93.45,ko
koiwat_1_0195_RGB Trans.tiff,319.53,20.17,ko
koiwat_1_0195_RGB Trans.tiff,4186.72,73.01,ko
koiwat_1_0195_RGB Trans.tiff,1697.27,46.49,ko
koiwat_1_0195_RGB Trans.tiff,2450.78,55.86,ko
koiwat_1_0195_RGB Trans.tiff,5061.72,80.28,ko
koiwat_1_0195_RGB Trans.tiff,3815.23,69.7,ko
koiwat_1_0195_RGB Trans.tiff,3420.7,66,ko
koiwat_1_0195_RGB Trans.tiff,536.72,26.14,ko
koiwat_1_0195_RGB Trans.tiff,5418.36,83.06,ko
koiwat_1_0195_RGB Trans.tiff,969.14,35.13,ko
koiwat_1_0195_RGB Trans.tiff,469.53,24.45,ko
koiwat_1_0195_RGB Trans.tiff,3768.36,69.27,ko
koiwat_1_0195_RGB Trans.tiff,1373.05,41.81,ko
koiwat_1_0195_RGB Trans.tiff,4614.84,76.65,ko
koiwat_1_0195_RGB Trans.tiff,1235.55,39.66,ko
koiwat_1_0195_RGB Trans.tiff,2316.8,54.31,ko
koiwat_1_0195_RGB Trans.tiff,3623.44,67.92,ko
koiwat_1_0195_RGB Trans.tiff,1888.28,49.03,ko
koiwat_1_0195_RGB Trans.tiff,1824.61,48.2,ko
koiwat_1_0195_RGB Trans.tiff,5448.05,83.29,ko
koiwat_1_0195_RGB Trans.tiff,3597.66,67.68,ko
koiwat_1_0195_RGB Trans.tiff,1096.88,37.37,ko
koiwat_1_0195_RGB Trans.tiff,634.77,28.43,ko
koiwat_1_0195_RGB Trans.tiff,4244.92,73.52,ko
koiwat_1_0195_RGB Trans.tiff,2398.44,55.26,ko
koiwat_1_0195_RGB Trans.tiff,1291.8,40.56,ko
koiwat_1_0195_RGB Trans.tiff,1796.09,47.82,ko
koiwat_1_0195_RGB Trans.tiff,1896.48,49.14,ko
koiwat_1_0195_RGB Trans.tiff,1616.41,45.37,ko
koiwat_1_0195_RGB Trans.tiff,2099.22,51.7,ko
koiwat_1_0195_RGB Trans.tiff,633.2,28.39,ko
koiwat_1_0195_RGB Trans.tiff,1699.22,46.51,ko
koiwat_1_0195_RGB Trans.tiff,3157.03,63.4,ko
koiwat_1_0195_RGB Trans.tiff,771.88,31.35,ko
koiwat_1_0195_RGB Trans.tiff,3108.98,62.92,ko
koiwat_1_0195_RGB Trans.tiff,571.48,26.97,ko
koiwat_1_0195_RGB Trans.tiff,1731.25,46.95,ko
koiwat_1_0195_RGB Trans.tiff,6718.36,92.49,ko
koiwat_1_0195_RGB Trans.tiff,3452.34,66.3,ko
koiwat_1_0195_RGB Trans.tiff,6182.81,88.73,ko
koiwat_1_0195_RGB Trans.tiff,8385.55,103.33,ko
koiwat_1_0195_RGB Trans.tiff,2346.09,54.65,ko
koiwat_1_0195_RGB Trans.tiff,4832.81,78.44,ko
koiwat_1_0195_RGB Trans.tiff,4807.03,78.23,ko
koiwat_1_0195_RGB Trans.tiff,4504.3,75.73,ko
koiwat_1_0195_RGB Trans.tiff,3063.28,62.45,ko
koiwat_1_0196_RGB Trans.tiff,5635.94,84.71,ko
koiwat_1_0196_RGB Trans.tiff,1352.73,41.5,ko
koiwat_1_0196_RGB Trans.tiff,1377.34,41.88,ko
koiwat_1_0196_RGB Trans.tiff,4487.5,75.59,ko
koiwat_1_0196_RGB Trans.tiff,769.14,31.29,ko
koiwat_1_0196_RGB Trans.tiff,5650.78,84.82,ko
koiwat_1_0196_RGB Trans.tiff,4262.5,73.67,ko
koiwat_1_0196_RGB Trans.tiff,698.44,29.82,ko
koiwat_1_0196_RGB Trans.tiff,1442.19,42.85,ko
koiwat_1_0196_RGB Trans.tiff,2564.06,57.14,ko
koiwat_1_0196_RGB Trans.tiff,3800.39,69.56,ko
koiwat_1_0196_RGB Trans.tiff,3559.38,67.32,ko
koiwat_1_0196_RGB Trans.tiff,2633.98,57.91,ko
koiwat_1_0196_RGB Trans.tiff,3227.34,64.1,ko
koiwat_1_0196_RGB Trans.tiff,1920.31,49.45,ko
koiwat_1_0196_RGB Trans.tiff,751.56,30.93,ko
koiwat_1_0196_RGB Trans.tiff,11790.62,122.52,ko
koiwat_1_0196_RGB Trans.tiff,3677.34,68.43,ko
koiwat_1_0196_RGB Trans.tiff,1836.72,48.36,ko
koiwat_1_0196_RGB Trans.tiff,2352.34,54.73,ko
koiwat_1_0196_RGB Trans.tiff,3565.62,67.38,ko
koiwat_1_0196_RGB Trans.tiff,3527.34,67.02,ko
koiwat_1_0196_RGB Trans.tiff,1921.09,49.46,ko
koiwat_1_0196_RGB Trans.tiff,2253.91,53.57,ko
koiwat_1_0196_RGB Trans.tiff,5297.27,82.13,ko
koiwat_1_0196_RGB Trans.tiff,6503.12,90.99,ko
koiwat_1_0196_RGB Trans.tiff,1466.41,43.21,ko
koiwat_1_0196_RGB Trans.tiff,4150.78,72.7,ko
koiwat_1_0196_RGB Trans.tiff,2753.91,59.21,ko
koiwat_1_0196_RGB Trans.tiff,1660.94,45.99,ko
koiwat_1_0196_RGB Trans.tiff,4153.91,72.72,ko
koiwat_1_0196_RGB Trans.tiff,4248.83,73.55,ko
koiwat_1_0196_RGB Trans.tiff,407.03,22.77,ko
koiwat_1_0196_RGB Trans.tiff,3455.47,66.33,ko
koiwat_1_0196_RGB Trans.tiff,3435.94,66.14,ko
koiwat_1_0196_RGB Trans.tiff,1494.53,43.62,ko
koiwat_1_0196_RGB Trans.tiff,2974.61,61.54,ko
koiwat_1_0196_RGB Trans.tiff,2571.48,57.22,ko
koiwat_1_0196_RGB Trans.tiff,886.33,33.59,ko
koiwat_1_0196_RGB Trans.tiff,6785.94,92.95,ko
koiwat_1_0196_RGB Trans.tiff,1075,37,ko
koiwat_1_0196_RGB Trans.tiff,694.14,29.73,ko
koiwat_1_0196_RGB Trans.tiff,1869.53,48.79,ko
koiwat_1_0196_RGB Trans.tiff,3037.5,62.19,ko
koiwat_1_0196_RGB Trans.tiff,4748.44,77.76,ko
koiwat_1_0196_RGB Trans.tiff,2229.69,53.28,ko
koiwat_1_0196_RGB Trans.tiff,370.31,21.71,ko
koiwat_1_0196_RGB Trans.tiff,1216.8,39.36,ko
koiwat_1_0196_RGB Trans.tiff,4836.33,78.47,ko
koiwat_1_0196_RGB Trans.tiff,1020.31,36.04,ko
koiwat_1_0196_RGB Trans.tiff,4806.25,78.23,ko
koiwat_1_0196_RGB Trans.tiff,1580.08,44.85,ko
koiwat_1_0196_RGB Trans.tiff,853.12,32.96,ko
koiwat_1_0196_RGB Trans.tiff,6338.28,89.83,ko
koiwat_1_0196_RGB Trans.tiff,5579.69,84.29,ko
koiwat_1_0196_RGB Trans.tiff,507.42,25.42,ko
koiwat_1_0196_RGB Trans.tiff,521.09,25.76,ko
koiwat_1_0196_RGB Trans.tiff,552.34,26.52,ko
koiwat_1_0196_RGB Trans.tiff,1830.08,48.27,ko
koiwat_1_0196_RGB Trans.tiff,8714.45,105.34,ko
koiwat_1_0196_RGB Trans.tiff,4635.55,76.83,ko
koiwat_1_0196_RGB Trans.tiff,508.2,25.44,ko
koiwat_1_0196_RGB Trans.tiff,432.03,23.45,ko
koiwat_1_0196_RGB Trans.tiff,1256.25,39.99,ko
koiwat_1_0196_RGB Trans.tiff,2304.3,54.17,ko
koiwat_1_0196_RGB Trans.tiff,2429.69,55.62,ko
koiwat_1_0196_RGB Trans.tiff,4242.19,73.49,ko
koiwat_1_0196_RGB Trans.tiff,3573.44,67.45,ko
koiwat_1_0196_RGB Trans.tiff,738.67,30.67,ko
koiwat_1_0196_RGB Trans.tiff,817.97,32.27,ko
koiwat_1_0196_RGB Trans.tiff,5245.31,81.72,ko
koiwat_1_0196_RGB Trans.tiff,4387.11,74.74,ko
koiwat_1_0196_RGB Trans.tiff,2562.89,57.12,ko
koiwat_1_0196_RGB Trans.tiff,809.38,32.1,ko
koiwat_1_0196_RGB Trans.tiff,491.02,25,ko
koiwat_1_0196_RGB Trans.tiff,4565.23,76.24,ko
koiwat_1_0196_RGB Trans.tiff,3418.36,65.97,ko
koiwat_1_0196_RGB Trans.tiff,986.72,35.44,ko
koiwat_1_0196_RGB Trans.tiff,5289.06,82.06,ko
koiwat_1_0196_RGB Trans.tiff,6959.77,94.14,ko
koiwat_1_0196_RGB Trans.tiff,669.14,29.19,ko
koiwat_1_0196_RGB Trans.tiff,2762.89,59.31,ko
koiwat_1_0196_RGB Trans.tiff,2228.12,53.26,ko
koiwat_1_0196_RGB Trans.tiff,1107.03,37.54,ko
koiwat_1_0196_RGB Trans.tiff,4192.19,73.06,ko
koiwat_1_0196_RGB Trans.tiff,2202.34,52.95,ko
koiwat_1_0196_RGB Trans.tiff,5628.91,84.66,ko
koiwat_1_0196_RGB Trans.tiff,7706.25,99.05,ko
koiwat_1_0196_RGB Trans.tiff,603.12,27.71,ko
koiwat_1_0196_RGB Trans.tiff,3956.64,70.98,ko
koiwat_1_0196_RGB Trans.tiff,6666.8,92.13,ko
koiwat_1_0196_RGB Trans.tiff,437.5,23.6,ko
koiwat_1_0196_RGB Trans.tiff,3740.62,69.01,ko
koiwat_1_0196_RGB Trans.tiff,2944.14,61.23,ko
koiwat_1_0196_RGB Trans.tiff,1818.36,48.12,ko
koiwat_1_0196_RGB Trans.tiff,3681.64,68.47,ko
koiwat_1_0196_RGB Trans.tiff,9507.42,110.02,ko
koiwat_1_0196_RGB Trans.tiff,5505.47,83.72,ko
koiwat_1_0196_RGB Trans.tiff,1014.06,35.93,ko
koiwat_1_0196_RGB Trans.tiff,4403.91,74.88,ko
koiwat_1_0196_RGB Trans.tiff,1292.97,40.57,ko
koiwat_1_0196_RGB Trans.tiff,5726.95,85.39,ko
koiwat_1_0196_RGB Trans.tiff,1457.42,43.08,ko
koiwat_1_0196_RGB Trans.tiff,550,26.46,ko
koiwat_1_0196_RGB Trans.tiff,2542.19,56.89,ko
koiwat_1_0196_RGB Trans.tiff,606.25,27.78,ko
koiwat_1_0196_RGB Trans.tiff,562.5,26.76,ko
koiwat_1_0196_RGB Trans.tiff,3377.73,65.58,ko
koiwat_1_0196_RGB Trans.tiff,2789.06,59.59,ko
koiwat_1_0196_RGB Trans.tiff,3619.14,67.88,ko
