ENSEMBL_ID	cntl_pal_r1 raw counts	cntl_pal_r2 raw counts	cntl_r1 raw counts	cntl_r2 raw counts	tr_pal_r1 raw counts	tr_pal_r2 raw counts	tr_r1 raw counts	tr_r2 raw counts	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSMUSG00000000223	11	20	20	37	17	14	17	19	22.9024063916456	0.661316668327996	0.609364372701184	1.08525653607959	0.277808050408095	NA
ENSMUSG00000000244	13	25	17	14	16	3	8	13	13.2281185733288	0.605322079202916	0.806667058654817	0.750398907093516	0.453014488980196	NA
ENSMUSG00000000247	11	5	2	16	6	4	8	3	NA	NA	NA	NA	NA	NA
ENSMUSG00000000248	1	0	2	2	4	1	1	1	NA	NA	NA	NA	NA	NA
ENSMUSG00000000253	307	297	211	269	246	272	237	284	249.574768378887	-0.0978376787240954	0.197943031043931	-0.494271903426505	0.621114165073757	NA
ENSMUSG00000000263	0	0	0	1	1	0	0	0	NA	NA	NA	NA	NA	NA
ENSMUSG00000000266	1577	1447	1251	1415	1243	1346	1306	1224	1297.09891004684	0.111324976700755	0.0921864271316815	1.20760702160347	0.227198457080105	0.831224532157967
ENSMUSG00000000275	5136	5190	4046	4653	4056	3955	4686	4161	4373.01359493364	0.0124018928131688	0.0618856813384047	0.200400036728245	0.841167730765664	0.981982225611353
ENSMUSG00000000276	1751	1637	1338	1654	1416	1543	1563	1392	1479.2414524077	0.0488489818656316	0.0816500116802864	0.598272809279043	0.549657916460631	0.945199092549109
ENSMUSG00000000278	14832	13824	8764	11285	13610	13781	11645	10678	10524.2281971469	-0.127859489112962	0.0433932417840246	-2.94653000919683	0.0032136123498687	0.106060365921882
ENSMUSG00000000282	1910	1879	1363	1753	1746	1699	1726	1690	1623.93583280214	-0.10715986257316	0.0810999849986894	-1.32133023914729	0.186391275443014	0.797557415074731
ENSMUSG00000000290	153	166	121	158	148	157	132	126	133.498685345441	0.13826622117043	0.249214352942122	0.5548084190903	0.579025707902442	NA
ENSMUSG00000000295	976	914	624	964	847	850	888	789	806.542444170775	-0.063088095144365	0.117687936446869	-0.536062548542062	0.591915322518709	0.954196382252473
ENSMUSG00000000296	88	73	58	69	64	90	81	65	67.8307123452467	-0.165140721266693	0.349314913386145	-0.472756000211593	0.636387268620632	NA
ENSMUSG00000000301	602	545	420	570	484	487	512	403	471.944992629775	0.141593782117078	0.141358820492533	1.00166216458036	0.316506786041607	0.880552842965369
ENSMUSG00000000303	0	0	0	1	1	0	0	0	NA	NA	NA	NA	NA	NA
ENSMUSG00000000305	0	0	0	0	2	0	0	0	NA	NA	NA	NA	NA	NA
ENSMUSG00000000308	0	1	4	0	0	0	1	0	NA	NA	NA	NA	NA	NA
ENSMUSG00000000317	0	0	1	1	0	0	0	1	NA	NA	NA	NA	NA	NA
ENSMUSG00000000318	55	59	51	62	69	57	57	39	51.9057080689072	0.273980614791146	0.403417319591576	0.679149360936032	0.497043229237614	NA
ENSMUSG00000000320	0	1	0	0	0	0	0	1	NA	NA	NA	NA	NA	NA
ENSMUSG00000000325	64	76	43	56	70	64	73	66	59.0216579302725	-0.462507250266812	0.373379731783827	-1.23870475790739	0.215454856045615	NA
ENSMUSG00000000326	1	0	0	0	0	0	0	4	NA	NA	NA	NA	NA	NA
ENSMUSG00000000339	994	883	687	913	838	797	924	731	806.50852021848	-0.0194452135918889	0.112429091399805	-0.17295535656995	0.862686518990145	0.983872360194529
ENSMUSG00000000340	6688	6138	5154	6640	5419	5701	5968	5529	5789.17056676684	0.0636321571731398	0.0504746220166256	1.26067624938688	0.207425514387096	0.815648564035682
ENSMUSG00000000346	13917	12845	10124	12889	12591	12906	12708	12017	11867.5585750606	-0.0765156890685759	0.0441755020802104	-1.73208419747318	0.0832585723603319	0.621556157023224
ENSMUSG00000000355	2189	1993	1561	2186	1662	1803	1909	1908	1876.80631847721	-0.00810343985158986	0.0827921066781976	-0.0978769616660064	0.922029994060472	0.991721182106415
ENSMUSG00000000359	0	0	1	2	0	0	0	0	NA	NA	NA	NA	NA	NA
ENSMUSG00000000365	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA
ENSMUSG00000000374	4723	4687	3710	4435	3893	4046	3984	3802	3970.74795920093	0.0965425072998065	0.0607581519066817	1.58896385538661	0.112068553203898	0.693634497047052
ENSMUSG00000000378	2138	2000	1513	2036	1829	1677	1776	1763	1760.76827646629	0.0258774711638704	0.0811651807545895	0.318824783278847	0.74985938391102	0.976816659533247
ENSMUSG00000000381	0	4	0	2	0	1	0	1	NA	NA	NA	NA	NA	NA
ENSMUSG00000000384	3188	3194	2406	3207	2556	2456	2748	2523	2702.61852345121	0.115446395262588	0.0654640098629478	1.76350937720254	0.0778146171392925	0.598404478890757
ENSMUSG00000000385	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA
ENSMUSG00000000386	22	36	8	15	4	7	5	7	8.62831688115696	0.93082701213329	0.987536346070319	0.942574939988092	0.345898362918213	NA
ENSMUSG00000000392	5	12	8	11	11	14	9	4	NA	NA	NA	NA	NA	NA
ENSMUSG00000000394	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA
ENSMUSG00000000399	12070	11089	8072	11524	9754	10313	11736	9957	10215.0964046003	-0.125298218936949	0.0577290944475133	-2.170451834315	0.0299726336906567	0.399523091109289
ENSMUSG00000000402	5	2	0	1	2	1	1	1	NA	NA	NA	NA	NA	NA
ENSMUSG00000000409	12	12	13	14	8	14	5	14	11.6425687549531	0.519781049722317	0.879142648930891	0.591236303180619	0.554362101644572	NA
ENSMUSG00000000411	0	0	1	0	0	0	0	0	NA	NA	NA	NA	NA	NA
ENSMUSG00000000416	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA
ENSMUSG00000000420	8983	8188	6629	8198	7150	7199	7645	6682	7250.83217009695	0.0812308840459355	0.0489878992239666	1.65818263964654	0.0972806077223128	0.661884163493617
ENSMUSG00000000435	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA
ENSMUSG00000000439	2779	2779	2179	2770	2556	2486	2622	2291	2450.32315405805	0.0400870222511159	0.0671435658913239	0.597034454738363	0.550484377245085	0.945199092549109
ENSMUSG00000000440	16930	16372	13325	16739	14543	15510	16707	14749	15288.5241677582	-0.0349857297074503	0.0412192368174359	-0.848771894113556	0.396008232326351	0.906956815876672
ENSMUSG00000000441	10501	10334	9077	11292	8583	9320	10406	9344	9979.14016478884	0.0749960826087432	0.0442209059264645	1.69594179579801	0.0898969033223469	0.64101280275987
ENSMUSG00000000486	79	42	57	76	67	70	83	84	74.5022901054226	-0.305936237241546	0.333593508922324	-0.917092896171377	0.359093963251271	NA
ENSMUSG00000000489	3	2	1	4	1	2	3	6	NA	NA	NA	NA	NA	NA
ENSMUSG00000000530	574	537	417	528	480	445	518	506	489.749698334548	-0.0891418382748715	0.13451141107619	-0.662708372186948	0.507517346728663	0.939760175851605
ENSMUSG00000000531	73	97	79	84	65	78	54	74	73.1801321677269	0.378531430867923	0.354628964328555	1.06740133757722	0.285790644723338	NA
ENSMUSG00000000532	4052	4017	3277	4116	3472	3695	4233	3683	3803.34129770383	-0.0680213971482841	0.0581238456632053	-1.17028383741898	0.241886763942494	0.845580614664731
ENSMUSG00000000538	6679	6598	5379	6666	5521	5595	6067	5682	5922.00048357054	0.0652974930273363	0.0512003784082113	1.27533223498333	0.202191672821751	0.810737358230521
ENSMUSG00000000544	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA
ENSMUSG00000000552	1566	1593	1224	1444	1301	1365	1437	1388	1369.07753895035	-0.0506603672572393	0.088143831505599	-0.574746597599644	0.565462688034701	0.946570411362465
ENSMUSG00000000555	4690	4251	3222	4113	3890	3625	3553	3486	3576.5075488474	0.0852205709534867	0.0623518191152943	1.36676960131517	0.171697533875472	0.787582194335513
ENSMUSG00000000560	0	0	0	0	0	1	0	0	NA	NA	NA	NA	NA	NA
ENSMUSG00000000561	3972	3470	2618	3453	3189	3381	3126	3080	3051.06882017336	-0.00844198275742743	0.0665591469787282	-0.126834299125339	0.899071548177445	0.987704400687869
ENSMUSG00000000562	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA
ENSMUSG00000000563	15798	14276	11178	15209	12504	12469	14095	12381	13107.6386672729	0.0192415999502272	0.0470815590258228	0.408686550495785	0.682769705128273	0.96696757881949
ENSMUSG00000000567	1330	1242	917	1000	1049	1176	1145	997	1012.30157643491	-0.119753713705723	0.104663494436061	-1.14417843920624	0.252549642812136	0.856092851258685
ENSMUSG00000000568	3972	3359	3119	3702	3263	3138	3391	3071	3309.58656380546	0.111542938072289	0.0628454232545061	1.77487766484715	0.0759180889357145	0.594399864360763
ENSMUSG00000000579	753	667	486	662	627	614	630	594	588.509805064941	-0.0696218456624599	0.123835146493521	-0.562213940338032	0.573970264608868	0.948303035826055
ENSMUSG00000000581	3080	2595	1852	2522	2480	2392	2693	2444	2357.73687417103	-0.208298357842959	0.0699556602431971	-2.97757689826414	0.00290536751412817	0.0993223128899549
ENSMUSG00000000594	5500	5702	4346	5496	4955	5361	5694	5057	5115.8700660328	-0.0979492362244468	0.0520842563302257	-1.88059200852225	0.0600274396659215	0.546904956214608
ENSMUSG00000000600	4087	3713	3099	3927	3445	3383	3658	3134	3433.2341152453	0.0792685872175783	0.0609427616389519	1.30070553230252	0.193359267896805	0.800744390383946
ENSMUSG00000000605	3728	3419	2636	3421	3200	3028	3251	2800	3005.85581818215	0.0299521353792448	0.0634956677453152	0.471719354135853	0.637127120685868	0.959856815307024
ENSMUSG00000000606	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA
ENSMUSG00000000617	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA
ENSMUSG00000000627	2	0	0	0	1	1	2	0	NA	NA	NA	NA	NA	NA
ENSMUSG00000000628	9493	8213	7383	9024	7929	8087	8520	7522	8073.68074664238	0.0648132269695349	0.0480209735383055	1.34968581838172	0.177116783235286	0.790716243965477
ENSMUSG00000000631	2539	2268	1929	2241	2334	2267	2234	2090	2117.43126642187	-0.0183319441593603	0.0752060355512267	-0.24375628930571	0.807419575358975	0.979374713480301
ENSMUSG00000000632	0	0	0	0	0	0	0	1	NA	NA	NA	NA	NA	NA
ENSMUSG00000000673	3	0	0	0	6	0	5	1	NA	NA	NA	NA	NA	NA
ENSMUSG00000000682	0	0	0	1	0	0	0	0	NA	NA	NA	NA	NA	NA
ENSMUSG00000000686	1808	1857	1552	1944	1314	1425	1874	1477	1700.21281797759	0.0948008819769236	0.0857009804708588	1.10618199997326	0.268647752184565	0.863131487975178
