,Unnamed: 0,mz,intensity,rel.intensity,theo.mass,delta,rdb.equiv,comp,add.info,sample,rep,carbons,hydrogens,oxygens,nitrogens,phosphates,carbon_isotope,fullsample,sample_loc_row,slope,yint,error,correctedmz,em,mf,unsat,chemcalc_error,ppm,info
3368,3369,772.5246,35128.4,2.06,772.5246,0.0,20.0,C49 [13]C4 H68 O4 ,,ko6,2,49,68,4,0,0,4,ko6_2,4,3.72826728032818e-22,0.0004000000000132,0.0004000000000132,772.525,771.51582,C44[13C]H73NO7P,10.5,-0.001917,-2.4845,NPO7[13C]C44H73
3369,3370,772.5668,13636.9,0.8,772.5669,-0.07,10.0,C43 [13]C4 H76 O8 ,,ko6,2,43,76,8,0,0,4,ko6_2,4,3.72826728032818e-22,0.0004000000000132,0.0004000000000132,772.5672,771.559924,C39[13C]4H78NO8P,6.0,-0.000013,-0.0163,NPO8[13C]4C39H78
3370,3371,772.5835,15327.7,0.9,772.583,0.53,13.0,C49 [13]C H77 O5 N ,,ko6,2,49,77,5,1,0,1,ko6_2,4,3.72826728032818e-22,0.0004000000000132,0.0004000000000132,772.5839,771.577805,C43H82NO8P,4.0,0.001168,1.5141,NPO8C43H82
3371,3372,772.6033,16216.0,0.95,772.6033,0.01,9.0,C44 [13]C4 H80 O7 ,,ko6,2,44,80,7,0,0,4,ko6_2,4,3.72826728032818e-22,0.0004000000000132,0.0004000000000132,772.6037,771.59631,C40[13C]4H82NO7P,5.0,-0.000127,-0.1647,NPO7[13C]4C40H82
3372,3373,772.626,10724.5,0.63,772.6263,-0.29,9.5,C42 [13]C7 H81 O6 ,,ko6,2,42,81,6,0,0,7,ko6_2,4,3.72826728032818e-22,0.0004000000000132,0.0004000000000132,772.6264,771.618063,C30[13C]12H82NO8P,3.0,-0.001074,-1.3915,NPO8[13C]12C30H82
3373,3374,772.7114,19348.9,1.14,772.7119,-0.5,2.5,C41 [13]C7 H94 O4 P ,,ko6,2,41,94,4,0,1,7,ko6_2,4,3.72826728032818e-22,0.0004000000000132,0.0004000000000132,772.7118,771.703621,C42[13C]H97NO7P,-3.5,-0.000916,-1.1871,NPO7[13C]C42H97
3374,3375,773.52,15536.9,0.91,773.5199,0.12,20.0,C48 [13]C4 H67 O4 N ,,ko6,2,48,67,4,1,0,4,ko6_2,4,3.72826728032818e-22,0.0004000000000132,0.0004000000000132,773.5204,772.514705,C42[13C]3H72NO7P,11.0,0.001568,2.0295,NPO7[13C]3C42H72
3375,3376,773.5271,16486.9,0.97,773.5268,0.23,13.5,C49 H74 O5 P ,,ko6,2,49,74,5,0,1,0,ko6_2,4,3.72826728032818e-22,0.0004000000000132,0.0004000000000132,773.5275,772.519175,C43[13C]2H73NO7P,10.5,-0.001062,-1.3747,NPO7[13C]2C43H73
3376,3377,773.5703,10078.5,0.59,773.5702,0.03,10.0,C42 [13]C5 H76 O8 ,,ko6,2,42,76,8,0,0,5,ko6_2,4,3.72826728032818e-22,0.0004000000000132,0.0004000000000132,773.5707,772.563279,C38[13C]5H78NO8P,6.0,-0.000158,-0.2041,NPO8[13C]5C38H78
3377,3378,773.5797,9093.5,0.53,773.5799,-0.16,8.0,C46 [13]C H81 O6 P ,,ko6,2,46,81,6,0,1,1,ko6_2,4,3.72826728032818e-22,0.0004000000000132,0.0004000000000132,773.5801,772.572844,C33[13C]11H76NO7P,8.0,0.000007,0.0086,NPO7[13C]11C33H76
3378,3379,773.6068,13221.1,0.78,773.6066,0.14,9.0,C43 [13]C5 H80 O7 ,,ko6,2,43,80,7,0,0,5,ko6_2,4,3.72826728032818e-22,0.0004000000000132,0.0004000000000132,773.6072,772.599665,C39[13C]5H82NO7P,5.0,-0.000272,-0.3523,NPO7[13C]5C39H82
3379,3380,773.6146,10154.5,0.6,773.615,-0.45,4.5,C39 [13]C6 H84 O7 P ,,ko6,2,39,84,7,0,1,6,ko6_2,4,3.72826728032818e-22,0.0004000000000132,0.0004000000000132,773.615,772.608605,C41[13C]3H84NO7P,4.0,0.000868,1.1237,NPO7[13C]3C41H84
