,Unnamed: 0,mz,intensity,rel.intensity,theo.mass,delta,rdb.equiv,comp,add.info,sample,rep,carbons,hydrogens,oxygens,nitrogens,phosphates,carbon_isotope,fullsample,sample_loc_row,slope,yint,error,correctedmz,em,mf,unsat,chemcalc_error,ppm,info
9193,9194,602.5103,658211.9,1.48,602.4632,47.13,-1.0,C27 [13]C3 H66 O8 N P ,,sc1,2,27.0,66.0,8.0,1,1,3,sc1_2,10,7.9648082890475e-07,-0.000905323518452,-0.0004254356152843,602.509874564385,603.516912,C26[13C]2H73O12,-7.5,-0.000232,-0.3846,O12[13C]2C26H73
9194,9195,602.5198,535053.7,1.21,602.4632,56.61,-1.0,C27 [13]C3 H66 O8 N P ,,sc1,2,27.0,66.0,8.0,1,1,3,sc1_2,10,7.9648082890475e-07,-0.000905323518452,-0.0004254280487164,602.519374571951,603.525853,C28H75O12,-8.5,-0.000792,-1.3118,O12C28H75
9195,9196,602.5295,1188964.5,2.68,602.4632,66.32,-1.0,C27 [13]C3 H66 O8 N P ,,sc1,2,27.0,66.0,8.0,1,1,3,sc1_2,10,7.9648082890475e-07,-0.000905323518452,-0.0004254203228524,602.529074579677,603.53874,C25H80O12P,-13.5,0.002395,3.9683,O12PC25H80
9196,9197,603.4492,384557.1,0.87,603.4472,1.92,-1.0,C27 [13]C3 H65 O9 P ,,sc1,2,27.0,65.0,9.0,0,1,3,sc1_2,10,7.9648082890475e-07,-0.000905323518452,-0.000424687799434,603.448775312201,604.452664,C26H69O12P,-7.0,-0.003381,-5.5935,O12PC26H69
9197,9198,603.4585,2462824.8,5.55,603.4472,11.3,-1.0,C27 [13]C3 H65 O9 P ,,sc1,2,27.0,65.0,9.0,0,1,3,sc1_2,10,7.9648082890475e-07,-0.000905323518452,-0.0004246803921623,603.458075319608,604.452664,C26H69O12P,-7.0,-0.012681,-20.9794,O12PC26H69
9198,9199,603.4675,960067.5,2.16,603.4472,20.27,-1.0,C27 [13]C3 H65 O9 P ,,sc1,2,27.0,65.0,9.0,0,1,3,sc1_2,10,7.9648082890475e-07,-0.000905323518452,-0.0004246732238349,603.467075326776,604.488352,C25[13C]2H70O13,-7.0,0.014007,23.1711,O13[13C]2C25H70
9199,9200,603.4762,294014.9,0.66,603.4472,28.98,-1.0,C27 [13]C3 H65 O9 P ,,sc1,2,27.0,65.0,9.0,0,1,3,sc1_2,10,7.9648082890475e-07,-0.000905323518452,-0.0004246662944517,603.475775333706,604.488352,C25[13C]2H70O13,-7.0,0.005307,8.7787,O13[13C]2C25H70
9200,9201,603.5136,210178.5,0.47,603.4472,66.34,-1.0,C27 [13]C3 H65 O9 P ,,sc1,2,27.0,65.0,9.0,0,1,3,sc1_2,10,7.9648082890475e-07,-0.000905323518452,-0.0004246365060687,603.513175363494,604.520267,C25[13C]3H73O12,-7.5,-0.000178,-0.2946,O12[13C]3C25H73
9201,9202,604.4524,1120341.3,2.53,604.4473,5.04,2.0,C33 H65 O7 P ,,sc1,2,33.0,65.0,7.0,0,1,0,sc1_2,10,7.9648082890475e-07,-0.000905323518452,-0.0004238887698665,604.45197611123,605.460489,C26H70O12P,-7.5,0.001243,2.0533,O12PC26H70
9202,9203,604.462,3197158.8,7.21,604.4473,14.63,2.0,C33 H65 O7 P ,,sc1,2,33.0,65.0,7.0,0,1,0,sc1_2,10,7.9648082890475e-07,-0.000905323518452,-0.0004238811236505,604.461576118876,605.460489,C26H70O12P,-7.5,-0.008357,-13.8024,O12PC26H70
9203,9204,604.4709,3099113.0,6.99,604.4473,23.56,2.0,C33 H65 O7 P ,,sc1,2,33.0,65.0,7.0,0,1,0,sc1_2,10,7.9648082890475e-07,-0.000905323518452,-0.0004238740349712,604.470476125965,605.460489,C26H70O12P,-7.5,-0.017257,-28.502,O12PC26H70
