mz,intensity,rel.intensity,theo.mass,delta,rdb,comp,sample
873.5508,2767706.3,1.31,873.5499,0.9,6.5,C46 H82 O13 P ,sc_nuc_1
873.5868,1589718,0.75,873.5862,0.52,5.5,C47 H86 O12 P ,sc_nuc_1
873.606,290253.1,0.14,873.6065,-0.56,23,C61 H79 O3 N ,sc_nuc_1
873.6715,188877.8,0.09,873.6699,1.58,8,C52 H91 O9 N ,sc_nuc_1
874.554,1471140.4,0.7,874.5542,-0.13,24,C60 H74 O5 ,sc_nuc_1
874.5902,801405.6,0.38,874.5906,-0.34,23,C61 H78 O4 ,sc_nuc_1
874.6188,1189141.4,0.56,874.6179,0.96,4.5,C47 H89 O11 N P ,sc_nuc_1
875.5598,283067.3,0.13,875.5596,0.16,14.5,C53 H80 O8 P ,sc_nuc_1
875.5984,197521.8,0.09,875.5984,0,22.5,C61 H79 O4 ,sc_nuc_1
875.6224,561672.6,0.27,875.6222,0.18,22,C61 H81 O3 N ,sc_nuc_1
875.6867,254120.7,0.12,875.6856,1.16,7,C52 H93 O9 N ,sc_nuc_1
875.7719,346202.6,0.16,875.7712,0.62,0,C51 H106 O7 N P ,sc_nuc_1
876.6344,886421.3,0.42,876.6335,0.92,3.5,C47 H91 O11 N P ,sc_nuc_1
877.0492,185179.2,0.09,877.148,-98.81,38.5,C52 H30 O12 P ,sc_nuc_1
877.6381,440400.8,0.21,877.6378,0.25,21,C61 H83 O3 N ,sc_nuc_1
878.5926,416235.6,0.2,878.5917,0.98,8.5,C49 H85 O10 N P ,sc_nuc_1
879.046,210050.9,0.1,879.1511,-105.1,38,C51 H30 O12 N P ,sc_nuc_1
879.0654,162198.4,0.08,879.1511,-85.72,38,C51 H30 O12 N P ,sc_nuc_1
880.6084,522005.7,0.25,880.6073,1.13,7.5,C49 H87 O10 N P ,sc_nuc_1
881.5196,1735028.4,0.82,881.5186,1.07,9.5,C47 H78 O13 P ,sc_nuc_1
881.6118,169381.5,0.08,881.6125,-0.6,2.5,C46 H90 O13 P ,sc_nuc_1
882.5229,811576.1,0.38,882.5229,0.01,27,C61 H70 O5 ,sc_nuc_1
882.5515,209363.2,0.1,882.5526,-1.04,17.5,C54 H76 O9 N ,sc_nuc_1
882.5876,463676.7,0.22,882.5866,1.05,7.5,C48 H85 O11 N P ,sc_nuc_1
882.624,487513.9,0.23,882.623,1.01,6.5,C49 H89 O10 N P ,sc_nuc_1
883.5351,33448858,15.85,883.5342,0.9,8.5,C47 H80 O13 P ,sc_nuc_1
883.5915,244918.3,0.12,883.5917,-0.21,2.5,C45 H88 O14 P ,sc_nuc_1
884.5385,16573890,7.85,884.5385,-0.02,26,C61 H72 O5 ,sc_nuc_1
884.6031,923119.7,0.44,884.6022,0.88,6.5,C48 H87 O11 N P ,sc_nuc_1
885.5305,586459.1,0.28,885.5311,-0.58,21.5,C57 H73 O8 ,sc_nuc_1
885.5502,211018592,100,885.5499,0.37,7.5,C47 H82 O13 P ,sc_nuc_1
885.5742,485553.2,0.23,885.5737,0.5,7,C47 H84 O12 N P ,sc_nuc_1
885.59,264068,0.13,885.5889,1.13,11,C51 H84 O9 N P ,sc_nuc_1
885.6072,447069.7,0.21,885.6074,-0.13,1.5,C45 H90 O14 P ,sc_nuc_1
886.5538,111836680,53,886.5542,-0.4,25,C61 H74 O5 ,sc_nuc_1
886.5751,235299.7,0.11,886.5753,-0.2,20,C58 H78 O7 ,sc_nuc_1
886.5859,210169,0.1,886.5839,2.04,15.5,C54 H80 O9 N ,sc_nuc_1
886.6199,270458.9,0.13,886.6202,-0.37,14.5,C55 H84 O8 N ,sc_nuc_1
887.5589,31775114,15.06,887.5596,-0.69,15.5,C54 H80 O8 P ,sc_nuc_1
887.5647,32050788,15.19,887.5655,-0.85,6.5,C47 H84 O13 P ,sc_nuc_1
887.6866,412427.4,0.2,887.6856,1,8,C53 H93 O9 N ,sc_nuc_1
888.5692,15951540,7.56,888.5698,-0.65,24,C61 H76 O5 ,sc_nuc_1
888.6707,203775.4,0.1,888.6699,0.78,3.5,C49 H95 O10 N P ,sc_nuc_1
889.5727,3961779,1.88,889.5709,1.75,15,C53 H79 O10 N ,sc_nuc_1
890.5764,869278.8,0.41,890.5764,-0.02,5.5,C46 H85 O13 N P ,sc_nuc_1
891.559,315996.9,0.15,891.5596,-0.55,28,C63 H73 O3 N ,sc_nuc_1
893.5559,237305.9,0.11,893.5549,0.92,9.5,C49 H82 O12 P ,sc_nuc_1
894.5871,259181.3,0.12,894.5866,0.56,8.5,C49 H85 O11 N P ,sc_nuc_1
895.5711,819401.1,0.39,895.5706,0.49,8.5,C49 H84 O12 P ,sc_nuc_1
896.5745,402315.8,0.19,896.5741,0.38,8.5,C48 H82 O14 N ,sc_nuc_1
896.6027,837305.2,0.4,896.6022,0.49,7.5,C49 H87 O11 N P ,sc_nuc_1
897.0359,202445.6,0.1,897.1379,-101.97,37.5,C51 H30 O14 P ,sc_nuc_1
897.055,198875.2,0.09,897.1379,-82.82,37.5,C51 H30 O14 P ,sc_nuc_1
897.1383,158649.5,0.08,897.1379,0.4,37.5,C51 H30 O14 P ,sc_nuc_1
897.5502,312116.9,0.15,897.5499,0.36,8.5,C48 H82 O13 P ,sc_nuc_1
897.5867,976301.3,0.46,897.5862,0.42,7.5,C49 H86 O12 P ,sc_nuc_1
897.606,467074.9,0.22,897.6065,-0.57,25,C63 H79 O3 N ,sc_nuc_1
898.5901,540181.1,0.26,898.5897,0.39,7.5,C48 H84 O14 N ,sc_nuc_1
898.6183,1433321.9,0.68,898.6179,0.45,6.5,C49 H89 O11 N P ,sc_nuc_1
899.5659,491223.6,0.23,899.5655,0.4,7.5,C48 H84 O13 P ,sc_nuc_1
899.6026,660137.9,0.31,899.6019,0.71,6.5,C49 H88 O12 P ,sc_nuc_1
899.6216,815657.3,0.39,899.6222,-0.57,24,C63 H81 O3 N ,sc_nuc_1
900.5693,164795.5,0.08,900.5698,-0.53,25,C62 H76 O5 ,sc_nuc_1
900.6053,351069.8,0.17,900.6054,-0.1,6.5,C48 H86 O14 N ,sc_nuc_1
900.6332,350502,0.17,900.6332,-0.06,10,C53 H88 O11 ,sc_nuc_1
900.8399,303028.2,0.14,900.8389,0.96,4.5,C58 H110 O5 N ,sc_nuc_1
901.5298,310236.7,0.15,901.5287,1.14,26,C60 H71 O6 N ,sc_nuc_1
901.5456,316336,0.15,901.5448,0.83,7.5,C47 H82 O14 P ,sc_nuc_1
901.5814,362442.7,0.17,901.5812,0.24,6.5,C48 H86 O13 P ,sc_nuc_1
901.6185,229599.4,0.11,901.6175,0.95,5.5,C49 H90 O12 P ,sc_nuc_1
901.7024,530194.5,0.25,901.7012,1.16,8,C54 H95 O9 N ,sc_nuc_1
901.8432,213747.3,0.1,901.8441,-0.93,-0.5,C55 H113 O8 ,sc_nuc_1
902.584,222901.7,0.11,902.5831,0.94,15,C55 H83 O8 P ,sc_nuc_1
902.6863,198047.1,0.09,902.6856,0.73,3.5,C50 H97 O10 N P ,sc_nuc_1
902.855,712430.1,0.34,902.8546,0.41,3.5,C58 H112 O5 N ,sc_nuc_1
903.8583,286086.4,0.14,903.8542,4.07,3,C58 H114 O3 N P ,sc_nuc_1
904.8707,427722.8,0.2,904.8702,0.48,2.5,C58 H114 O5 N ,sc_nuc_1
907.5344,663925.3,0.31,907.5342,0.17,10.5,C49 H80 O13 P ,sc_nuc_1
908.5378,379435.1,0.18,908.5385,-0.77,28,C63 H72 O5 ,sc_nuc_1
909.5504,2372743.8,1.12,909.5499,0.58,9.5,C49 H82 O13 P ,sc_nuc_1
910.554,1231840.3,0.58,910.5542,-0.18,27,C63 H74 O5 ,sc_nuc_1
911.0513,222638.3,0.11,911.1409,-89.62,38,C51 H30 O14 N P ,sc_nuc_1
911.5661,4021995.8,1.91,911.5655,0.6,8.5,C49 H84 O13 P ,sc_nuc_1
912.5694,2163057,1.03,912.5698,-0.39,26,C63 H76 O5 ,sc_nuc_1
913.5816,2592640.3,1.23,913.5812,0.43,7.5,C49 H86 O13 P ,sc_nuc_1
914.585,1462155,0.69,914.5855,-0.43,25,C63 H78 O5 ,sc_nuc_1
915.5971,694471.5,0.33,915.5968,0.3,6.5,C49 H88 O13 P ,sc_nuc_1
916.6003,355400.5,0.17,916.6011,-0.8,24,C63 H80 O5 ,sc_nuc_1
930.7181,263515.5,0.12,930.7192,-1.18,12.5,C59 H96 O7 N ,sc_nuc_1
930.8868,262378.6,0.12,930.8859,0.92,3.5,C60 H116 O5 N ,sc_nuc_1
932.7333,667227.9,0.32,932.7325,0.8,2.5,C52 H103 O10 N P ,sc_nuc_1
933.7367,170746.6,0.08,933.7345,2.19,11,C59 H100 O5 N P ,sc_nuc_1
955.7861,260749.7,0.12,955.7846,1.56,8,C59 H105 O8 N ,sc_nuc_1
957.8014,839921.8,0.4,957.8002,1.18,7,C59 H107 O8 N ,sc_nuc_1
958.7486,282053.3,0.13,958.7482,0.41,3.5,C54 H105 O10 N P ,sc_nuc_1
958.8046,549507.1,0.26,958.8054,-0.74,2,C56 H110 O11 ,sc_nuc_1
960.7649,278718.3,0.13,960.7638,1.07,2.5,C54 H107 O10 N P ,sc_nuc_1
976.5626,231855.6,0.11,976.5624,0.2,21,C60 H81 O9 P ,sc_nuc_1
983.8169,184988.8,0.09,983.8159,1,8,C61 H109 O8 N ,sc_nuc_1
984.7648,246021.2,0.12,984.7638,0.98,4.5,C56 H107 O10 N P ,sc_nuc_1
985.8327,455275.3,0.22,985.8315,1.17,7,C61 H111 O8 N ,sc_nuc_1
986.7798,648077.1,0.31,986.7795,0.33,3.5,C56 H109 O10 N P ,sc_nuc_1
986.8365,299964,0.14,986.8367,-0.2,2,C58 H114 O11 ,sc_nuc_1
987.7837,234349.1,0.11,987.7814,2.31,12,C63 H106 O5 N P ,sc_nuc_1
988.796,270805,0.13,988.7951,0.88,2.5,C56 H111 O10 N P ,sc_nuc_1
500.2788,2249890.8,1.55,500.2783,0.51,5.5,C25 H43 O7 N P ,sc_nuc_2
501.2821,593740.1,0.41,501.2834,-1.27,0.5,C22 H46 O10 P ,sc_nuc_2
502.2947,381001,0.26,502.2939,0.77,4.5,C25 H45 O7 N P ,sc_nuc_2
507.5152,351580,0.24,507.4783,36.96,2.5,C33 H63 O3 ,sc_nuc_2
508.3051,272102.2,0.19,508.3045,0.64,2.5,C24 H47 O8 N P ,sc_nuc_2
508.3412,198417.9,0.14,508.3409,0.37,1.5,C25 H51 O7 N P ,sc_nuc_2
509.2892,545052.4,0.38,509.2885,0.67,2.5,C24 H46 O9 P ,sc_nuc_2
509.458,173885.4,0.12,509.4575,0.46,2.5,C32 H61 O4 ,sc_nuc_2
511.3075,358511.2,0.25,511.3068,0.64,6,C27 H46 O6 N P ,sc_nuc_2
511.4737,313434,0.22,511.4732,0.51,1.5,C32 H63 O4 ,sc_nuc_2
513.3227,413238.8,0.29,513.3225,0.27,5,C27 H48 O6 N P ,sc_nuc_2
515.3384,248185.9,0.17,515.3381,0.25,4,C27 H50 O6 N P ,sc_nuc_2
517.4819,236099.2,0.16,517.4837,-1.88,-0.5,C31 H65 O5 ,sc_nuc_2
521.5309,394644.7,0.27,521.4939,36.99,2.5,C34 H65 O3 ,sc_nuc_2
522.5345,143909.3,0.1,522.5017,32.72,2,C34 H66 O3 ,sc_nuc_2
524.2789,302181.9,0.21,524.2783,0.68,7.5,C27 H43 O7 N P ,sc_nuc_2
524.2998,321412.6,0.22,524.2994,0.43,2.5,C24 H47 O9 N P ,sc_nuc_2
526.2946,244285.4,0.17,526.2939,0.67,6.5,C27 H45 O7 N P ,sc_nuc_2
528.2736,175449.1,0.12,528.2732,0.43,6.5,C26 H43 O8 N P ,sc_nuc_2
528.3102,218045.7,0.15,528.3096,0.64,5.5,C27 H47 O7 N P ,sc_nuc_2
529.3176,336321.7,0.23,529.3174,0.25,5,C27 H48 O7 N P ,sc_nuc_2
530.3025,173912.3,0.12,530.3014,1.05,5,C27 H47 O8 P ,sc_nuc_2
531.44,212876.8,0.15,531.4419,-1.88,5.5,C34 H59 O4 ,sc_nuc_2
533.0421,154209.5,0.11,533.143,-100.86,8.5,C22 H30 O13 P ,sc_nuc_2
533.4556,213824.3,0.15,533.4575,-1.94,4.5,C34 H61 O4 ,sc_nuc_2
534.4897,628210.5,0.43,534.4892,0.56,3.5,C34 H64 O3 N ,sc_nuc_2
535.493,182341.5,0.13,535.497,-4.04,3,C34 H65 O3 N ,sc_nuc_2
535.5212,493557.8,0.34,535.5096,11.66,2.5,C35 H67 O3 ,sc_nuc_2
535.5466,678596.8,0.47,535.5096,37.03,2.5,C35 H67 O3 ,sc_nuc_2
536.5055,3763387.5,2.6,536.5048,0.64,2.5,C34 H66 O3 N ,sc_nuc_2
536.5503,166185.4,0.11,536.5174,32.87,2,C35 H68 O3 ,sc_nuc_2
537.4893,298922.3,0.21,537.4888,0.5,2.5,C34 H65 O4 ,sc_nuc_2
537.5087,1299216.1,0.9,537.5126,-3.96,2,C34 H67 O3 N ,sc_nuc_2
538.512,157521.1,0.11,538.5205,-8.45,1.5,C34 H68 O3 N ,sc_nuc_2
539.5053,262701.3,0.18,539.5045,0.81,1.5,C34 H67 O4 ,sc_nuc_2
540.3311,359051.3,0.25,540.3307,0.44,1.5,C25 H51 O9 N P ,sc_nuc_2
549.5621,225007.2,0.16,549.5252,36.85,2.5,C36 H69 O3 ,sc_nuc_2
558.4667,150796.6,0.1,558.4657,0.99,1.5,C32 H65 O4 N P ,sc_nuc_2
559.4712,166797.3,0.12,559.4732,-1.99,5.5,C36 H63 O4 ,sc_nuc_2
563.4325,265038.7,0.18,563.432,0.5,1,C30 H62 O6 N P ,sc_nuc_2
563.5527,1153629.5,0.8,563.5409,11.84,2.5,C37 H71 O3 ,sc_nuc_2
563.5778,202090.7,0.14,563.5409,36.93,2.5,C37 H71 O3 ,sc_nuc_2
564.5368,454640,0.31,564.5361,0.65,2.5,C36 H70 O3 N ,sc_nuc_2
564.5559,409687.5,0.28,564.5487,7.24,2,C37 H72 O3 ,sc_nuc_2
565.0482,206638.1,0.14,565.148,-99.87,12.5,C26 H30 O12 P ,sc_nuc_2
565.3543,179175.7,0.12,565.3538,0.5,7,C31 H52 O6 N P ,sc_nuc_2
565.5208,149880,0.1,565.5201,0.69,2.5,C36 H69 O4 ,sc_nuc_2
565.5401,145407,0.1,565.5439,-3.82,2,C36 H71 O3 N ,sc_nuc_2
568.3625,222015,0.15,568.362,0.55,1.5,C27 H55 O9 N P ,sc_nuc_2
570.4667,1068992.6,0.74,570.4657,1,2.5,C33 H65 O4 N P ,sc_nuc_2
571.4701,260628.3,0.18,571.4732,-3.06,6.5,C37 H63 O4 ,sc_nuc_2
571.4983,911964.4,0.63,571.497,1.32,6,C37 H65 O3 N ,sc_nuc_2
572.4636,256727.6,0.18,572.4658,-2.12,2,C33 H64 O7 ,sc_nuc_2
572.4823,8432749,5.82,572.4813,1.01,1.5,C33 H67 O4 N P ,sc_nuc_2
572.5015,264333.9,0.18,572.5021,-0.64,1,C34 H68 O6 ,sc_nuc_2
573.4856,2534301.5,1.75,573.4888,-3.23,5.5,C37 H65 O4 ,sc_nuc_2
573.4952,221359.2,0.15,573.4974,-2.15,1,C33 H67 O6 N ,sc_nuc_2
574.4793,2380713.3,1.64,574.4814,-2.09,1,C33 H66 O7 ,sc_nuc_2
574.4891,302197.3,0.21,574.4841,4.99,5.5,C36 H64 O4 N ,sc_nuc_2
574.4981,339975.6,0.23,574.497,1.15,0.5,C33 H69 O4 N P ,sc_nuc_2
575.4826,787539.2,0.54,575.481,1.65,0.5,C33 H68 O5 P ,sc_nuc_2
577.5935,521065,0.36,577.5565,36.99,2.5,C38 H73 O3 ,sc_nuc_2
578.5971,156149.4,0.11,578.5643,32.72,2,C38 H74 O3 ,sc_nuc_2
579.0276,179995.3,0.12,579.1511,-123.56,13,C26 H30 O12 N P ,sc_nuc_2
579.3699,1917084,1.32,579.3694,0.46,7,C32 H54 O6 N P ,sc_nuc_2
580.3732,650588.3,0.45,580.3746,-1.41,2,C29 H57 O9 P ,sc_nuc_2
581.0433,151348.7,0.1,581.143,-99.61,12.5,C26 H30 O13 P ,sc_nuc_2
582.5111,981047.9,0.68,582.5103,0.77,2.5,C35 H68 O5 N ,sc_nuc_2
583.0387,215611.5,0.15,583.146,-107.32,12,C25 H30 O13 N P ,sc_nuc_2
583.4951,686671.8,0.47,583.4943,0.78,2.5,C35 H67 O6 ,sc_nuc_2
583.5063,217877.8,0.15,583.5096,-3.27,6.5,C39 H67 O3 ,sc_nuc_2
583.5142,278508.3,0.19,583.5181,-3.88,2,C35 H69 O5 N ,sc_nuc_2
584.3574,166624.1,0.12,584.3569,0.46,1.5,C27 H55 O10 N P ,sc_nuc_2
584.4984,207321.9,0.14,584.5021,-3.7,2,C35 H68 O6 ,sc_nuc_2
585.0543,225883.9,0.16,585.1379,-83.54,11.5,C25 H30 O14 P ,sc_nuc_2
585.5103,477648.3,0.33,585.51,0.34,1.5,C35 H69 O6 ,sc_nuc_2
587.3599,278887.9,0.19,587.3593,0.61,5,C30 H54 O8 N P ,sc_nuc_2
588.4771,466621.4,0.32,588.4762,0.82,1.5,C33 H67 O5 N P ,sc_nuc_2
591.584,1154258.1,0.8,591.5722,11.88,2.5,C39 H75 O3 ,sc_nuc_2
592.5681,178238.6,0.12,592.5674,0.71,2.5,C38 H74 O3 N ,sc_nuc_2
592.5874,368391.2,0.25,592.58,7.44,2,C39 H76 O3 ,sc_nuc_2
597.0544,182072.6,0.13,597.1379,-83.44,12.5,C26 H30 O14 P ,sc_nuc_2
597.3498,642205.6,0.44,597.3503,-0.46,15.5,C39 H50 O3 P ,sc_nuc_2
598.4979,431923.2,0.3,598.497,0.96,2.5,C35 H69 O4 N P ,sc_nuc_2
599.034,190255.6,0.13,599.1409,-106.97,12,C25 H30 O14 N P ,sc_nuc_2
599.321,667963.3,0.46,599.3202,0.77,2.5,C27 H52 O12 P ,sc_nuc_2
599.5013,606725.4,0.42,599.5045,-3.17,6.5,C39 H67 O4 ,sc_nuc_2
599.5296,3026138.3,2.09,599.5283,1.33,6,C39 H69 O3 N ,sc_nuc_2
600.5136,1466574.4,1.01,600.5126,1.01,1.5,C35 H71 O4 N P ,sc_nuc_2
600.533,1077955.4,0.74,600.5334,-0.42,1,C36 H72 O6 ,sc_nuc_2
601.0295,301394.3,0.21,601.148,-118.51,15.5,C29 H30 O12 P ,sc_nuc_2
601.4613,175985,0.12,601.4602,1.05,2.5,C34 H66 O6 P ,sc_nuc_2
601.5169,647338.7,0.45,601.5201,-3.23,5.5,C39 H69 O4 ,sc_nuc_2
601.5266,967002.6,0.67,601.5287,-2.05,1,C35 H71 O6 N ,sc_nuc_2
602.5106,430892.3,0.3,602.5127,-2.11,1,C35 H70 O7 ,sc_nuc_2
602.53,354989.5,0.25,602.5283,1.75,0.5,C35 H73 O4 N P ,sc_nuc_2
603.0448,300592.2,0.21,603.1511,-106.28,15,C28 H30 O12 N P ,sc_nuc_2
605.6251,188575.1,0.13,605.5878,37.3,2.5,C40 H77 O3 ,sc_nuc_2
609.3805,384065,0.27,609.38,0.54,7,C33 H56 O7 N P ,sc_nuc_2
609.4745,186628.5,0.13,609.4739,0.58,0,C32 H68 O7 N P ,sc_nuc_2
609.5108,487014.5,0.34,609.5103,0.53,-1,C33 H72 O6 N P ,sc_nuc_2
609.5584,398492.5,0.28,609.5702,-11.75,2,C38 H75 O4 N ,sc_nuc_2
611.0339,233420.2,0.16,611.1409,-107.05,13,C26 H30 O14 N P ,sc_nuc_2
611.0704,159619.9,0.11,611.1409,-70.53,13,C26 H30 O14 N P ,sc_nuc_2
611.3961,3537787.5,2.44,611.3956,0.44,6,C33 H58 O7 N P ,sc_nuc_2
611.4899,157455.2,0.11,611.4895,0.4,-1,C32 H70 O7 N P ,sc_nuc_2
611.5264,1696470.6,1.17,611.5256,0.74,2.5,C37 H71 O6 ,sc_nuc_2
612.3993,1443188.9,1,612.4008,-1.45,1,C30 H61 O10 P ,sc_nuc_2
612.5296,538674.1,0.37,612.5334,-3.8,2,C37 H72 O6 ,sc_nuc_2
613.0295,175438.6,0.12,613.148,-118.56,16.5,C30 H30 O12 P ,sc_nuc_2
613.0494,208599.7,0.14,613.148,-98.66,16.5,C30 H30 O12 P ,sc_nuc_2
613.4031,182409.3,0.13,613.4027,0.39,9.5,C37 H58 O5 P ,sc_nuc_2
613.5419,2105165,1.45,613.5413,0.59,1.5,C37 H73 O6 ,sc_nuc_2
614.5452,799953.9,0.55,614.5491,-3.94,1,C37 H74 O6 ,sc_nuc_2
615.045,349716.5,0.24,615.1511,-106.07,16,C29 H30 O12 N P ,sc_nuc_2
616.4717,852223.4,0.59,616.4711,0.59,2.5,C34 H67 O6 N P ,sc_nuc_2
617.0241,169251.5,0.12,617.143,-118.89,15.5,C29 H30 O13 P ,sc_nuc_2
617.0607,208741.3,0.14,617.143,-82.23,15.5,C29 H30 O13 P ,sc_nuc_2
617.4193,142993.7,0.1,617.4188,0.55,3.5,C33 H62 O8 P ,sc_nuc_2
617.4746,199026.8,0.14,617.4787,-4.04,6.5,C38 H65 O6 ,sc_nuc_2
618.5837,460328.9,0.32,618.5831,0.65,3.5,C40 H76 O3 N ,sc_nuc_2
619.0205,161721.8,0.11,619.146,-125.52,15,C28 H30 O13 N P ,sc_nuc_2
619.2895,890239.8,0.61,619.2889,0.66,6.5,C29 H48 O12 P ,sc_nuc_2
619.587,142119.3,0.1,619.5909,-3.88,3,C40 H77 O3 N ,sc_nuc_2
619.6405,553493.9,0.38,619.6035,37,2.5,C41 H79 O3 ,sc_nuc_2
620.293,205895.5,0.14,620.2932,-0.21,24,C43 H40 O4 ,sc_nuc_2
620.5993,828088.4,0.57,620.5987,0.54,2.5,C40 H78 O3 N ,sc_nuc_2
620.644,156230.2,0.11,620.6113,32.73,2,C41 H80 O3 ,sc_nuc_2
621.0355,167931.3,0.12,621.1379,-102.32,14.5,C28 H30 O14 P ,sc_nuc_2
621.6028,323334.4,0.22,621.6065,-3.74,2,C40 H79 O3 N ,sc_nuc_2
623.3656,147571.9,0.1,623.366,-0.34,16.5,C41 H52 O3 P ,sc_nuc_2
624.5217,151529.9,0.1,624.5209,0.81,3.5,C37 H70 O6 N ,sc_nuc_2
625.0497,197648.8,0.14,625.148,-98.33,17.5,C31 H30 O12 P ,sc_nuc_2
625.3813,336020.8,0.23,625.3816,-0.26,15.5,C41 H54 O3 P ,sc_nuc_2
626.5295,189492.2,0.13,626.5283,1.28,2.5,C37 H73 O4 N P ,sc_nuc_2
626.5372,1297339.8,0.9,626.5365,0.71,2.5,C37 H72 O6 N ,sc_nuc_2
626.5488,202376.3,0.14,626.5491,-0.27,2,C38 H74 O6 ,sc_nuc_2
627.4769,311164.3,0.21,627.4759,1.02,3.5,C36 H68 O6 P ,sc_nuc_2
627.5405,505030.2,0.35,627.5443,-3.82,2,C37 H73 O6 N ,sc_nuc_2
627.561,2711017,1.87,627.5596,1.39,6,C41 H73 O3 N ,sc_nuc_2
628.545,642518.8,0.44,628.5439,1.06,1.5,C37 H75 O4 N P ,sc_nuc_2
628.5643,1116761.4,0.77,628.5647,-0.43,1,C38 H76 O6 ,sc_nuc_2
629.0608,294737.3,0.2,629.143,-82.18,16.5,C30 H30 O13 P ,sc_nuc_2
629.4926,339913.7,0.23,629.4915,1.01,2.5,C36 H70 O6 P ,sc_nuc_2
629.5482,148992,0.1,629.5514,-3.22,5.5,C41 H73 O4 ,sc_nuc_2
629.5581,755815.9,0.52,629.56,-1.94,1,C37 H75 O6 N ,sc_nuc_2
630.5419,149035.2,0.1,630.544,-2.08,1,C37 H74 O7 ,sc_nuc_2
630.5613,258908.5,0.18,630.5596,1.7,0.5,C37 H77 O4 N P ,sc_nuc_2
631.02,148206.3,0.1,631.146,-126.06,16,C29 H30 O13 N P ,sc_nuc_2
631.04,272118.5,0.19,631.146,-106.06,16,C29 H30 O13 N P ,sc_nuc_2
633.0358,327930.8,0.23,633.1379,-102.03,15.5,C29 H30 O14 P ,sc_nuc_2
633.5108,161984.4,0.11,633.5103,0.5,1,C35 H72 O6 N P ,sc_nuc_2
634.4461,39434920,27.22,634.4453,0.82,2.5,C33 H65 O8 N P ,sc_nuc_2
635.0511,353382.1,0.24,635.1409,-89.82,15,C28 H30 O14 N P ,sc_nuc_2
635.2927,514649.9,0.36,635.2932,-0.53,19.5,C40 H44 O5 P ,sc_nuc_2
635.4495,13059625,9.02,635.4473,2.25,11,C40 H62 O3 N P ,sc_nuc_2
636.4529,1760644.8,1.22,636.4524,0.47,6,C37 H65 O6 P ,sc_nuc_2
637.0692,186783,0.13,637.148,-78.79,18.5,C32 H30 O12 P ,sc_nuc_2
637.5056,298552.9,0.21,637.5052,0.39,0,C34 H72 O7 N P ,sc_nuc_2
637.542,302663.1,0.21,637.5416,0.39,-1,C35 H76 O6 N P ,sc_nuc_2
637.5897,372804.8,0.26,637.6015,-11.74,2,C40 H79 O4 N ,sc_nuc_2
639.5211,317578.7,0.22,639.5208,0.31,-1,C34 H74 O7 N P ,sc_nuc_2
639.5577,997503.3,0.69,639.5569,0.75,2.5,C39 H75 O6 ,sc_nuc_2
640.561,297550.5,0.21,640.5647,-3.7,2,C39 H76 O6 ,sc_nuc_2
641.0812,196606.1,0.14,641.143,-61.79,17.5,C31 H30 O13 P ,sc_nuc_2
641.4066,646978.4,0.45,641.4062,0.4,6,C34 H60 O8 N P ,sc_nuc_2
641.5733,1045230.5,0.72,641.5726,0.76,1.5,C39 H77 O6 ,sc_nuc_2
642.4102,194046,0.13,642.4113,-1.11,1,C31 H63 O11 P ,sc_nuc_2
642.5768,467326.4,0.32,642.5804,-3.63,1,C39 H78 O6 ,sc_nuc_2
643.0402,282037.5,0.19,643.146,-105.84,17,C30 H30 O13 N P ,sc_nuc_2
644.5994,908925.1,0.63,644.5987,0.71,4.5,C42 H78 O3 N ,sc_nuc_2
645.0358,171460.7,0.12,645.1379,-102.05,16.5,C30 H30 O14 P ,sc_nuc_2
645.0558,344516.2,0.24,645.1379,-82.09,16.5,C30 H30 O14 P ,sc_nuc_2
645.4504,176041.5,0.12,645.4501,0.3,3.5,C35 H66 O8 P ,sc_nuc_2
645.6026,363287.2,0.25,645.6039,-1.31,-0.5,C39 H81 O6 ,sc_nuc_2
646.4464,434389.1,0.3,646.4453,1.03,3.5,C34 H65 O8 N P ,sc_nuc_2
646.615,2372181,1.64,646.6144,0.66,3.5,C42 H80 O3 N ,sc_nuc_2
647.0513,501408.7,0.35,647.1409,-89.61,16,C29 H30 O14 N P ,sc_nuc_2
647.6182,1097515,0.76,647.6222,-3.95,3,C42 H81 O3 N ,sc_nuc_2
647.6721,242298.2,0.17,647.6348,37.38,2.5,C43 H83 O3 ,sc_nuc_2
648.6307,1289256.4,0.89,648.63,0.66,2.5,C42 H82 O3 N ,sc_nuc_2
649.0307,419734.1,0.29,649.148,-117.3,19.5,C33 H30 O12 P ,sc_nuc_2
649.0669,512571.4,0.35,649.148,-81.09,19.5,C33 H30 O12 P ,sc_nuc_2
649.6341,486814.9,0.34,649.6378,-3.71,2,C42 H83 O3 N ,sc_nuc_2
651.0263,252136.7,0.17,651.1511,-124.83,19,C32 H30 O12 N P ,sc_nuc_2
653.042,415653.8,0.29,653.143,-100.92,18.5,C32 H30 O13 P ,sc_nuc_2
653.5846,438378.8,0.3,653.5878,-3.25,6.5,C44 H77 O3 ,sc_nuc_2
654.5606,1134806.4,0.78,654.5596,1.07,2.5,C39 H77 O4 N P ,sc_nuc_2
654.5803,207150.2,0.14,654.5804,-0.04,2,C40 H78 O6 ,sc_nuc_2
655.0404,152457.9,0.11,655.146,-105.67,18,C31 H30 O13 N P ,sc_nuc_2
