mz,intensity,rel.intensity,theo.mass,delta,rdb,comp,sample
567.3424,172038.8,0.08,567.3413,1.16,7,C30 H49 O9 N ,sc_nuc_1
568.3626,636734.6,0.3,568.362,0.65,1.5,C27 H55 O9 N P ,sc_nuc_1
570.4665,1539261,0.73,570.4657,0.84,2.5,C33 H65 O4 N P ,sc_nuc_1
571.2898,168539.6,0.08,571.2889,0.87,2.5,C25 H48 O12 P ,sc_nuc_1
571.3494,503072.9,0.24,571.3491,0.35,1,C26 H54 O10 N P ,sc_nuc_1
571.4699,486126.4,0.23,571.4732,-3.29,6.5,C37 H63 O4 ,sc_nuc_1
571.4982,1068291,0.51,571.497,1.21,6,C37 H65 O3 N ,sc_nuc_1
572.4635,420798.4,0.2,572.4658,-2.3,2,C33 H64 O7 ,sc_nuc_1
572.4822,11800709,5.59,572.4813,0.87,1.5,C33 H67 O4 N P ,sc_nuc_1
572.5013,431219.1,0.2,572.5021,-0.82,1,C34 H68 O6 ,sc_nuc_1
573.4855,4145493.8,1.96,573.4888,-3.28,5.5,C37 H65 O4 ,sc_nuc_1
573.4949,345626.8,0.16,573.4974,-2.45,1,C33 H67 O6 N ,sc_nuc_1
574.4792,3868696.5,1.83,574.4814,-2.18,1,C33 H66 O7 ,sc_nuc_1
574.4889,567606.9,0.27,574.4841,4.78,5.5,C36 H64 O4 N ,sc_nuc_1
574.4978,587987.4,0.28,574.497,0.83,0.5,C33 H69 O4 N P ,sc_nuc_1
575.4825,1352916.1,0.64,575.481,1.52,0.5,C33 H68 O5 P ,sc_nuc_1
577.5935,757643.2,0.36,577.5565,37,2.5,C38 H73 O3 ,sc_nuc_1
578.5969,244284.3,0.12,578.5643,32.54,2,C38 H74 O3 ,sc_nuc_1
579.3698,1966565.1,0.93,579.3694,0.4,7,C32 H54 O6 N P ,sc_nuc_1
580.3731,618607.8,0.29,580.3746,-1.44,2,C29 H57 O9 P ,sc_nuc_1
582.3419,235406.7,0.11,582.3413,0.6,2.5,C27 H53 O10 N P ,sc_nuc_1
582.5108,1471733.3,0.7,582.5103,0.55,2.5,C35 H68 O5 N ,sc_nuc_1
583.4949,1093904.8,0.52,583.4943,0.63,2.5,C35 H67 O6 ,sc_nuc_1
583.506,305265.3,0.14,583.5096,-3.55,6.5,C39 H67 O3 ,sc_nuc_1
583.5142,527421.6,0.25,583.5181,-3.95,2,C35 H69 O5 N ,sc_nuc_1
584.3575,402669.5,0.19,584.3569,0.56,1.5,C27 H55 O10 N P ,sc_nuc_1
584.4983,351111.8,0.17,584.5021,-3.85,2,C35 H68 O6 ,sc_nuc_1
585.0544,228265.8,0.11,585.1379,-83.48,11.5,C25 H30 O14 P ,sc_nuc_1
585.5102,792117.1,0.38,585.51,0.24,1.5,C35 H69 O6 ,sc_nuc_1
586.4977,252390.6,0.12,586.497,0.75,1.5,C34 H69 O4 N P ,sc_nuc_1
586.5137,171431.4,0.08,586.5178,-4.12,1,C35 H70 O6 ,sc_nuc_1
588.3313,569295.1,0.27,588.3307,0.66,5.5,C29 H51 O9 N P ,sc_nuc_1
588.477,690409.8,0.33,588.4762,0.75,1.5,C33 H67 O5 N P ,sc_nuc_1
591.5841,1323738.4,0.63,591.5722,11.93,2.5,C39 H75 O3 ,sc_nuc_1
591.6095,275852.9,0.13,591.5722,37.31,2.5,C39 H75 O3 ,sc_nuc_1
592.5682,296963.8,0.14,592.5674,0.75,2.5,C38 H74 O3 N ,sc_nuc_1
592.5875,443127.1,0.21,592.58,7.52,2,C39 H76 O3 ,sc_nuc_1
593.3466,268378.2,0.13,593.346,0.58,3.5,C29 H54 O10 P ,sc_nuc_1
595.334,200311.3,0.09,595.3338,0.15,-1,C24 H54 O13 N P ,sc_nuc_1
597.3053,713661.9,0.34,597.3045,0.79,3.5,C27 H50 O12 P ,sc_nuc_1
597.3498,765126.9,0.36,597.3503,-0.55,15.5,C39 H50 O3 P ,sc_nuc_1
598.3531,161335.5,0.08,598.3538,-0.71,15.5,C38 H48 O5 N ,sc_nuc_1
598.4978,886100.5,0.42,598.497,0.86,2.5,C35 H69 O4 N P ,sc_nuc_1
599.3209,2362667,1.12,599.3202,0.68,2.5,C27 H52 O12 P ,sc_nuc_1
599.4454,257281.7,0.12,599.4446,0.81,3.5,C34 H64 O6 P ,sc_nuc_1
599.5012,819561.4,0.39,599.5045,-3.33,6.5,C39 H67 O4 ,sc_nuc_1
599.5296,4029748.3,1.91,599.5283,1.28,6,C39 H69 O3 N ,sc_nuc_1
600.3243,679492.6,0.32,600.3245,-0.23,20,C41 H44 O4 ,sc_nuc_1
600.4949,170571.7,0.08,600.4971,-2.19,2,C35 H68 O7 ,sc_nuc_1
600.5044,221957,0.11,600.4997,4.69,6.5,C38 H66 O4 N ,sc_nuc_1
600.5135,2352535.8,1.11,600.5126,0.85,1.5,C35 H71 O4 N P ,sc_nuc_1
600.5328,1385281.9,0.66,600.5334,-0.63,1,C36 H72 O6 ,sc_nuc_1
601.029,184560.8,0.09,601.148,-119.04,15.5,C29 H30 O12 P ,sc_nuc_1
601.4609,473009.7,0.22,601.4602,0.66,2.5,C34 H66 O6 P ,sc_nuc_1
601.5168,847995.8,0.4,601.5201,-3.29,5.5,C39 H69 O4 ,sc_nuc_1
601.5264,1184530.9,0.56,601.5287,-2.27,1,C35 H71 O6 N ,sc_nuc_1
602.5104,729088.1,0.35,602.5127,-2.29,1,C35 H70 O7 ,sc_nuc_1
602.5299,444654.3,0.21,602.5283,1.6,0.5,C35 H73 O4 N P ,sc_nuc_1
603.0448,235525.9,0.11,603.1511,-106.3,15,C28 H30 O12 N P ,sc_nuc_1
603.5138,225767.8,0.11,603.5123,1.56,0.5,C35 H72 O5 P ,sc_nuc_1
605.6248,348162.1,0.16,605.5878,36.93,2.5,C40 H77 O3 ,sc_nuc_1
609.3804,338088.3,0.16,609.38,0.44,7,C33 H56 O7 N P ,sc_nuc_1
609.4742,297416.2,0.14,609.4739,0.26,0,C32 H68 O7 N P ,sc_nuc_1
609.5107,750907.9,0.36,609.5103,0.38,-1,C33 H72 O6 N P ,sc_nuc_1
609.5582,543132,0.26,609.5463,11.81,2.5,C38 H73 O5 ,sc_nuc_1
610.3731,357750.7,0.17,610.3726,0.56,2.5,C29 H57 O10 N P ,sc_nuc_1
